indicator_code,full_description,brief_description_code,brief_description
PSM-2,Percentage of health facilities with essential medicines and lifesaving commodities in stock,% health facilities w/ essential medicines and lifesaving commodities in stock - PSM-2,% health facilities w/ essential medicines and lifesaving commodities in stock
PSM-3,Percentage of facilities providing diagnostic services with tracer items on the day of the assessment,% facilities providing dx. services w/ tracer items on the day the assessment - PSM-3,% facilities providing dx. services w/ tracer items on the day the assessment
M&E-3,"Percentage of deaths registered (as reported by civil or sample registration systems, hospitals, community-based reporting systems) among the total estimated deaths for the same period and geographical region",% deaths registered among the total estimated deaths in period and region - M&E-3,% deaths registered among the total estimated deaths in period and region
HW-1,"Number of health workers per 10,000 population (report on community health workers as applicable)","No. HW per 10,000 pop. - HW-1","No. HW per 10,000 po"
HW-2,Distribution of health workers,Distribution health workers (HWs) - HW-2,Distribution health workers (HWs)
HW-3,"Number of health workers newly recruited at primary health care facilities in the past 12 months, expressed as a percentage of planned recruitment targets",No. HWs newly recruited at prim. health care facil in past 12 mos (as a % planned recruitment) - HW-3,No. HWs newly recruited at prim. health care facil in past 12 mos (as a % planned recruitment)
HW-4,Annual rate of retention of service providers at primary health care facilities,Annual rate retention service providers at primary health care facilities - HW-4,Annual rate retention service providers at primary health care facilities
HW-5,"Number of graduates from health workforce training institutions during the last academic year per 1,000 population","No. graduates from health workforce training instit. dur. last academic yr per 1,000 - HW-5","No. graduates from health workforce training instit. dur. last academic yr per 1,000"
SD-1,"Number of health facilities per 10,000 population","No. health facilities per 10,000 pop. - SD-1","No. health facilities per 10,000 pop."
SD-3,Number of outpatient department visits per person per year,No. outpatient department visits per person per yr - SD-3,No. outpatient department visits per person per yr
HF-1,Government expenditure on health as percentage of general government expenditure,Government expenditure on health as % general government expenditure - HF-1,Government expenditure on health as % general government expenditure
SSRP-other 1,Percentage of Health Districts targetted which have reached an 80% coverage with the integrated package of services (PIS),% Health Districts targetted w/ 80% cov. integrated package of services - SSRP-other 1,% Health Districts targetted w/ 80% cov. integrated package of services 
SSRP-other 2,Percentage of new bacteriologically confirmed TB cases managed according to national standards among the cases notified the previous year (measures quality of service delivery),% of new bacteriol-conf. TB mngd to natl standards - SSRP-other 2,% of new bacteriol-conf. TB mngd to natl standards 
RDT SO,Number and percentage of health facilities (Integrated Health Centers) reporting a shortage of rapid diagnostic tests (RDTs) malaria,No/% of health facilities (IHCs) rep. shortage of RDTs - RDT SO,No/% of health facilities (IHCs) rep. shortage of RDTs
GP other-1,Number of new cases (survivors of sexual violence),Number of new cases (survivors of sexual violence) - GP other-1,Number of new cases (survivors of sexual violence) 
GP other-2,Number of survivors of sexual violence recd. PREP w/in 72 hrs,Number of survivors of sexual violence recd. PREP w/in 72 hrs - GP other-2,Number of survivors of sexual violence recd. PREP w/in 72 hrs 
TCP other-2,Number and percentage of CSDT reporting no stock-outs of drugs for the treatment of susceptible TB - TCP other-2,No./% of health ctrs. rep. no stock-outs of DS-TB drugs- TCP other-2,No./% of health ctrs. rep. no stock-outs of DS-TB drugs
TCP other-1,Percentage of all forms of TB that received adherence support from community workers or volunteers who were successfully treated (completed treatment and cured) in the course of one year. given period,% of TB cas. recd. support from CHW successfully txd.in year - TCP other-1,% of TB cas. recd. support from CHW successfully txd.in year 
TCS- other 1,Percentage of ART sites that reported no stock-out of any antiretroviral drugs during the reporting period,% ART sites w/ no stock-out of ARVs dur. report per. - TCS-other 1,% ART sites w/ no stock-out of ARVs dur. report per. 
TCS other-2,Percentage of children living with HIV currently receiving antiretroviral therapy,% of children LHIV currently rec ART - TCS other-2,% of children LHIV currently rec ART 
TCS other-3,Number and percentage of health facilities (Screening and Treatment Centers) reporting a stock-out of HIV tests,No./% of health ctrs rep.stock-outs of HIV tests - TCS other-3,No./% of health ctrs rep.stock-outs of HIV tests 
TB O-5 (M),TB treatment coverage: Percentage of new and relapse cases that were notified and treated among the estimated number of incident TB cases in the same year (all forms of TB – bacteriologically confirmed plus clinically diagnosed),TB tx. coverage - TB O-5(M),TB tx. coverage 
TCS other- 1,Percentage of ART sites that reported no stock-out of any antiretroviral drugs during the reporting period,% ART sites w/ no stock-out of ARVs dur. report per. - TCS-other 1,% ART sites w/ no stock-out of ARVs dur. report per. 
DOTS-6,Number of tuberculosis cases (all forms) reported among key populations or risk groups affected,No. of TB cas. rep. among key pops or risk groups affected - DOTS-6,No. of TB cas. rep. among key pops or risk groups affected
DOTS-1b,"Number of notified cases of bacteriologically confirmed TB, new and relapses",No. cas. notif. bacteriologically conf. TB - DOTS-1b,No. cas. notif. bacteriologically conf. TB 
TB/HIV-2,Percentage of registered seropositive patients with tuberculosis who have received antiretroviral treatment during tuberculosis treatment,% of reg. seropositive patients w/ TB who recd. ART during TB tx. - TB/HIV-2,% of reg. seropositive patients w/ TB who recd. ART during TB tx.
 TB O-2b  ,Treatment success rate - bacteriologically confirmed TB cases,Tx. success rate - bacteriologically conf. TB cas. - TB O-2b,Tx. success rate - bacteriologically conf. TB cas. 
TB O-1b,"Case notification rate per 100,000 population- bacteriologically-confirmed TB, new and relapse ","Cas. Not. rate per 100,000 population- bacteriologically-conf. TB - TB O-1b","Cas. Not. rate per 100,000 population- bacteriologically-conf. TB "
MDR TB-1,Percentage of previously treated TB patients receiving DST (bacteriologically positive cases only) ,% prev. treated TB patients receiving DST (bacteriologically pos. cas. only) - MDR TB-1,% prev. treated TB patients receiving DST (bacteriologically pos. cas. only)
TB/HIV-1,Percentage of TB patients who had an HIV test result recorded in the TB register ,% TB patients w/ HIV test result recorded in TB register - TB/HIV-1,% TB patients w/ HIV test result recorded in TB register
DOTS-2b,Percentage of bacteriologically confirmed TB cases successfully treated (cured plus completed treatment) among the bacteriologically confirmed TB cases registered during a specified period,% bacteriologically conf. TB cases successfully tx. (cured plus completed treatment - DOTS-2b,% bacteriologically conf. TB cases successfully tx. (cured plus completed treatment 
GP other-2 Nombre de SVS ayant recu le kit PEP dans les 72h ,Number of survivors of sexual violence recd. PREP w/in 72 hrs,No. survivors of sexual violence recd. PREP w/in 72 hrs - GP other-2,No. survivors of sexual violence recd. PREP w/in 72 hrs
HIV O-other 1 ,Percentage of other vulnerable populations who report the use of a condom at last sexual intercourse,% other vulnerable pop. who report use of condom at last sex. intercourse - HIV O-7,% other vulnerable pop. who report use of condom at last sex. intercourse 
Nombre et pourcentage de structures de santé (Centres de Santé intégrés) qui rapporte une rupture de stock des tests de diagnostic rapide (TDR) malaria ,Number and percentage of health facilities (Integrated Health Centers) reporting a shortage of rapid diagnostic tests (RDTs) malaria,No/% of health facilities (IHCs) rep. shortage of RDTs - RDT SO,No/% of health facilities (IHCs) rep. shortage of RDTs
Number and percentage of health facilities (Integrated health facilities) reporting stock out of malaria rapid diagnostic test (RDT) ,Number and percentage of health facilities (Integrated Health Centers) reporting a shortage of rapid diagnostic tests (RDTs) malaria,No/% of health facilities (IHCs) rep. shortage of RDTs - RDT SO,No/% of health facilities (IHCs) rep. shortage of RDTs
HIV O-other 1,Percentage of other vulnerable populations who report the use of a condom at last sexual intercourse,% other vulnerable pop. who report use of condom at last sex. intercourse - HIV O-7,% other vulnerable pop. who report use of condom at last sex. intercourse 
GP other-2 Nombre de SVS ayant recu le kit PEP dans les 72h,Number of survivors of sexual violence recd. PREP w/in 72 hrs,No. survivors of sexual violence recd. PREP w/in 72 hrs - GP other-2,No. survivors of sexual violence recd. PREP w/in 72 hrs
 GP other-2 Nombre de SVS ayant recu le kit PEP dans les 72h,Number of survivors of sexual violence recd. PREP w/in 72 hrs,No. survivors of sexual violence recd. PREP w/in 72 hrs - GP other-2,No. survivors of sexual violence recd. PREP w/in 72 hrs
HIV I-3b,Percentage of men who have sex with men with active syphilis ,% of MSM w/ active syphilis - HIV I-3b,% of MSM w/ active syphilis
HIV I-3c,Percentage of sex workers with active syphilis,% of CSW w/ active syphilis - HIV I-3c,% of CSW w/ active syphilis
KP Other-2,Percentage of newly diagnosed MSM linked to HIV care (individual linkage) ,% of newly diagnosed MSM linked to HIV care (indiv. link.) - KP Other-2,% of newly diagnosed MSM linked to HIV care (indiv. link.)
KP Other-1,Percentage of newly diagnosed sex workers linked to HIV care (individual linkage) ,% of newly diagnosed CSW linked to HIV care (indiv. work.) - KP Other-1,% of newly diagnosed CSW linked to HIV care (indiv. work.)
KP-Other 1,Percentage of female entertainment workers reached with HIV prevention programs - defined package of services ,% of F. entertainment workers reached w/ HIV prev. prog - KP-Other 1,% of F. entertainment workers reached w/ HIV prev. prog
KP-Other 2,Percentage of female entertainment workers that have received an HIV test during the reporting period and know their results ,% of F. entertainment workers reached that rec. an HIV test  - KP-Other 2,% of F. entertainment workers reached that rec. an HIV test 
KP-other1,Number and Percentage of PWIDs on opioid substitution therapy ,% of newly diagnosed MSM linked to HIV care (indiv. on OST) - KP-other1,% of newly diagnosed MSM linked to HIV care (indiv. on OST) 
KP-other2,Number  of prisoners that have received an HIV test during the reporting period and know their results ,No. of prisoners that recd. HIV test dur. report period & know result - KP-other2,No. of prisoners that recd. HIV test dur. report period & know result 
TCS-Other (1),Number of patiets in need reached through community health network (patients on ART lost to follow-up) that are not reached through the health facility defaulter tracing mechanism ,% transgender people that recd. HIV test dur. report period & know result - TCS-Other (1),% transgender people that recd. HIV test dur. report period & know result
KP Other -2 ,Percentage of newly diagnosed MSM linked to HIV care (individual linkage) ,% of newly diagnosed MSM linked to HIV care (indiv. link.) - KP Other-2,% of newly diagnosed MSM linked to HIV care (indiv. link.)
KP Other -2,Percentage of newly diagnosed MSM linked to HIV care (individual linkage) ,% of newly diagnosed MSM linked to HIV care (indiv. link.) - KP Other-2,% of newly diagnosed MSM linked to HIV care (indiv. link.)
